CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,CF01,CF02,CF04,UQ01,UQ02,UQ03,UQ04,D002_01,D002_02,D002_03,D002_04,D002_05,D002_06,D002_07,D002_08,D002_09,D003,D003_05,D004_99,D005_01,PR01_RV1,PR01_RV2,PR01_RV3,AU01_01,AU01_02,AU02_01,AU03_01,AU04_01,AU05,AU05_01,AU05_02,AU05_03,AU05_04,AU05_05,AU05_05a,AU06_01,AU18_01,AU19_01,AU20_01,AU07_01,AU08_01,AU09,AU09_01,AU09_02,AU09_03,AU09_04,AU09_05,AU09_06,AU10,AU10_01,AU10_02,AU10_03,AU10_04,AU10_05,AU10_06,AU11,AU13,AU14_01,AU14_02,AU16_01,AU16_02,AU16_03,AU16_04,AU16_05,AU16_06,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI,DEG_TIME
271,,,base,interview,06/09/2021 17:05,,,1,1,1,1,2,5,5,5,5,5,3,5,5,5,1,,29,United Kingdom,612571b94884532254a5c07d,61361b3f24903104f34b1853,61362e146d18fe1eb5f1042b,5,5,I would definitely use personlised authentication object for the security of my personal account especially nowadays other people have advance knowledge with the technology that they can easily hack or access an individual's account for their personal gain.,2-3 seconds,Probably 3-5 cm like a small eraser or usb device,1,1,1,2,1,1,,Protecting privacy or something personal can take place anywhere ,"If the object is personalised for an individual, it should only take few seconds since the object can only recognised that particular person",Authentication object should not be obvious to other people ,So that it would be accessible whenever you need it,5,Secret pocket,2,1,1,1,2,2,1,2,2,2,1,1,1,1,4,1,I prefer hexagonal shape,Combination of yellow and black color,Two,Two,Touch and arrangement,If the object is a hexagonal shape I could particularly touch the top and rotate the body separated into 3 parts like a rubics cube to a particular sequence of rotation,"Accuracy
Fast
Lightweight
Accessible
Modern",This study is interesting. It would be awesome to see the real one in the future,32,78,47,665,93,964,95,8,1982,,06/09/2021 17:38,1,0,8,8,0,0,0.73,1
273,,,base,interview,06/09/2021 17:05,,,1,,,,,,,,,,,,,,,,,,6130ed04f8c4d5153c9b466a,61361b3f24903104f34b1853,61362e1b4854a63867b95f5e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,11,,,,,,,43,,06/09/2021 17:06,0,0,2,2,0,0,2.05,80
274,,,base,interview,06/09/2021 17:05,,,1,1,1,1,2,6,6,3,5,6,2,6,5,5,2,,27,United state of America,612bfdafe5326f7970be558a,61361b3f24903104f34b1853,61362db7c2786eb8e40d80b3,5,5,to make accessing devices more easier,30,5 cm,1,1,1,2,1,1,,for it to be more effective,To be more effective,For it to be more durable,so as to be available anytime,2,in the pocket,2,2,2,1,1,1,1,1,1,2,1,1,1,1,4,1,in form of a car key,white and black,2,2,"Touch
Augmentation",By placing the object inside smartphones,"Durability
visibility
speed
touch
effective",N/A,26,760,45,736,25,340,110,81,1332,,06/09/2021 17:40,1,0,8,8,0,0,0.99,17
275,,,base,interview,06/09/2021 17:05,,,1,1,1,1,2,6,5,5,6,5,5,6,2,6,2,,36,United States,612c9224152df3b77dcaed53,61361b3f24903104f34b1853,61362d91c9f85c6af29d6a63,5,5,It links the accessories together and make it easier to access,10,10 cm,1,1,1,2,1,1,,Easy to access anywhere,Less time for it to be fast and accurate,Not too heavy to cary,so as to make it easy to use,4,in office,4,2,2,2,2,1,1,3,2,1,2,2,1,1,4,1,square shape,black,3,2,Touch and configuration,Placing it on my palm to use,"Speed
reliable
touch
weight
durability",N/A,20,29,202,529,75,337,64,9,1106,,06/09/2021 17:26,1,0,8,8,0,0,1.06,13
276,,,base,interview,06/09/2021 17:05,,,1,1,1,1,1,4,4,5,4,4,3,5,5,5,1,,24,south africa,6130fbdcf112f58c0bd7fd7e,61361b3f24903104f34b1853,61362e22533a89c19999a9c8,4,3,it would all depend on the type of authentication object and whether it is convenient and easy to use,not more than 60 seconds,The object should just be small like a ring ,1,1,1,2,1,1,,they could work both indoors and outdoors,60 seconds should be the maximum time. Anything more than that would be an inconvenience,"the smaller the item, the easier it would be to use",the smaller the item the more convenient it would be to carry it around. it's also better if you can wear it,4,in a bag or should also be able to be kept in your pockets due to size,1,1,1,2,1,1,1,4,2,2,1,2,2,1,4,1,i would prefer a small object such as a ring or bracelet. Preferably something i can walk around in or wear,black,1,1,Touch,I would prefer to touch the object for authentication,"1- secure(should not be able to be used by someone else)
2-  quick authentication
3-  easy to use
4- small object
5- convenient

",none,129,47,92,544,103,642,107,7,1671,,06/09/2021 17:33,1,0,8,8,0,0,0.66,0
277,,,base,interview,06/09/2021 17:05,,,1,1,1,2,2,5,6,4,5,4,2,5,3,5,2,,32,FRANCE,61323fa32b708c560604e511,61361b3f24903104f34b1853,61362e2e499ccc7e4496c445,5,5,Clever and innovative way of authentication ,2,5 centimeters ,1,1,1,2,1,1,,Should not be location dependant,Needs to be quick ,Should fit in a pocket,Should fit in a pocket,5,Pocket,3,2,1,1,2,2,1,1,1,1,1,2,1,1,4,1,I would prefer a simple shape such as a cube,Green,2,2,Touch and configuration ,"If my object was a dice, I would touch a dedicated face. ","Small, unique, design, light, discreet",No other comment ,109,134,56,216,57,493,63,5,1133,,06/09/2021 17:24,1,0,8,8,0,0,0.96,8
278,,,base,interview,06/09/2021 17:05,,,1,1,1,1,2,5,6,4,5,6,2,5,5,5,2,,19,Poland,6125af1ad005587c33806c0c,61361b3f24903104f34b1853,61362e4cc0d749633a4c02e9,4,5,"It's easier to interact with that form of authenitaction, remember that and use, than using password that must include big letters or numbers I cant remember",5,8,1,1,1,2,1,1,,I would like to use it indoors and outdoors cause of mobility of it,"Something around that, Im trying to imagine how that works and assuming everyone should have one special way of interacting with it, it should be about 5 seconds or more","Not too small, not too big I think",To have it around and use it ,5,In bag or pocket,2,2,2,1,1,1,1,1,1,1,1,1,1,2,4,1,Maybe something like rubik's cube with a combination of colours,6 colours and to unlock something you must mix them somehow ,Two of them,One maybe,Arrangement and configuration,Matching colours to mix them as they should be,"Mobile
Smooth
Not too big
Modern
Satisfying",I dont have any,41,40,31,334,35,351,58,4,894,,06/09/2021 17:20,1,0,8,8,0,0,1.31,17
279,,,base,interview,06/09/2021 17:05,,,1,1,1,1,1,5,5,5,5,6,2,5,2,6,2,,23,Portugal,5c952a7ddee80800168ab6f8,61361b3f24903104f34b1853,61362e520fc97b1569891da5,2,1,"Object could be lost, 2FA with a digital authenticator is easier to use, possible exploitation by others",5 to 10,The size of a keychain,1,2,1,1,1,1,,Indoors to acess restricted areas or login on computers,"The time it takes me to pull out my phone and go to my Google Autheticator app, or to receive a SMS from 2 factor authetication",Bigger than that it would be cumbersome ,A place where its easy to store and hard to lose,3,"Keychain, in a card slot in the wallet",2,1,2,2,1,1,1,1,2,1,1,1,1,1,4,1,"Rubik cube like, that provides a lot of combinations so its not easily exploited.",No preference,All of them except Augmentation,"One, configuration as it seems the most secure","One, configuration as it seems the most secure",Cylinder or Rubik's cube like,Lots of combinations possible within a simple configuration system,No,41,37,42,326,71,333,41,3,894,,06/09/2021 17:20,1,0,8,8,0,0,1.28,15
280,,,base,interview,06/09/2021 17:06,,,1,1,1,1,2,6,6,3,6,6,4,6,5,5,1,,25,South Africa ,61237f0d8f4d8bffcedc211e,61361b3f24903104f34b1853,61362d73d1f484cade112cb4,4,4,I would like to use the authentication ,00:05,8cm by 4cm ,1,1,1,2,1,1,,It should be like a phone ,I should be very quick process111. ,I should be handlable like a phone,It should be something used anywhere ,4,Both home and public ,5,2,2,2,2,2,1,5,2,2,2,2,2,1,4,1,It should be like a phone ,Blue ,3,3,"Assemble, touch and configuration ",Yes it an object that you can rotate,"Be easy to use
Light weight 
Nice colors
Don't need to be charged 
Long lasting ",I am very happy to be party of the survey,71,68,36,283,109,662,97,11,1337,,06/09/2021 17:28,1,0,8,8,0,0,0.8,4
281,,,base,interview,06/09/2021 17:06,,,1,1,1,1,2,2,3,4,5,6,4,5,6,4,2,,50,United States,61306ec8c969b39cce478f08,61361b3f24903104f34b1853,61362e44ef38ad80da3964c1,2,4,good,15,7,1,2,1,1,1,1,,safe,easy to me,good ,safe,3,Home,1,2,1,1,1,1,1,1,2,1,1,1,1,1,4,1,Good shape to see,Purple,7,6,"Bus,track,Tree",Very usefull,Good,No,235,125,12,251,56,1260,245,10,1817,,06/09/2021 17:42,1,0,8,8,0,0,0.94,21
282,,,base,interview,06/09/2021 17:06,,,1,1,1,1,1,2,4,5,3,5,3,5,3,5,1,,26,South Africa,6130ed04f8c4d5153c9b466a,61361b3f24903104f34b1853,61362e1b4854a63867b95f5e,4,4,It would be very convenient as I would have one form of authentication instaed of too many.,5 seconds,less than 10cm,1,1,2,1,1,1,,For safety reasons. I have less reason to be cautious indoors. ,I don't expect it to be lightning fast but I would want something that allows quick access to what I want to log into. ,It should not be too big that it is a burden but also not too small that it can easily get lost,For the ease of access,5,In a hand bag or wallet,3,2,2,2,1,1,1,2,1,1,1,2,2,1,4,1,a rectangle.,I would want it to be black. ,Only  touch. It appears to be the most convenient and would not take too much time. ,Only 1 - Touch. ,Touch. ,I would prefer to touch or press a specific part of the object in order to authenticate. ,"1. Ease of access. 
2. Easily stored.
3. Not likely to attract attentiion. 
4. Should work fast. 
5. Power should last long. ",Would it be affordable?,47,38,20,324,43,395,152,4,1023,,06/09/2021 17:23,1,0,8,8,0,0,1.25,17
283,,,base,interview,06/09/2021 17:06,,,1,2,1,1,1,5,6,5,5,6,2,5,5,5,2,,42,U.S.A,613177f40a8d35792cbda85a,61361b3f24903104f34b1853,61362cadae53763bf7589086,4,5,"In fact, if I had such authentication I would definitely use it and I think there could be no more security than this because I like this device so much.",2,I think it's better if it's like a normal mobile like a 6 inch by 4,1,1,1,2,1,1,,it is very lovely product for me,Today's people use everything to work very fast and they are updating their technology to make it easier and faster to work.,i very like as  like my size what i object,I like this product ,4,i want to stored on my self,1,1,1,1,2,1,1,1,1,1,1,2,1,1,4,1,I think it can be a little bit lighter than our smartphone like rectangular or rhombus shaped so that we can use it with one hand and feel comfortable to use for us.,I would prefer black or white for this,2 pic,3 pic,Randome,"yes, i want",It will be necessary for my various necessary work or for the development of knowledge as well as for the development of my knowledge I think it will be enough for me.,no,159,113,400,593,80,547,76,13,1624,,06/09/2021 17:39,1,0,8,8,0,0,0.57,0
284,,,base,interview,06/09/2021 17:07,,,1,1,1,1,2,4,5,3,2,2,4,5,6,2,1,,26,South Africa,610c0467a3cdf498307190e1,61361b3f24903104f34b1853,61362df148d613a7ac12f5cf,3,1,"if i somehow loose the object , i will struggle since it is a process to replace it",5,1cm,1,1,1,2,1,1,,i want flexebility ,since its an an object i will have to press it first then login to whatever i want to,i wounldn'd want to carry a heavy object ,they are almost everywhere...they must be installed maybe at the door of every store,4,shopping centres,1,1,1,1,1,2,1,4,2,2,2,2,1,1,4,1,cube,black because its a good color for gadgets,1,1,Touch,i just want to touch and press ,"fingerprint
pin
censor
password
press
",this study is very innovative and informative,92,91,63,643,100,617,130,9,1745,,06/09/2021 17:36,1,0,8,8,0,0,0.6,0
285,,,base,interview,06/09/2021 17:07,,,1,1,1,1,1,4,3,2,3,3,4,3,3,5,1,,22,South Africa ,61334e6f67cc0d10e4810dfc,61361b3f24903104f34b1853,61362da367610546d5f773d9,5,5,If it is unique and can only be used by me then it is safer.,5 seconds ,5 cm,1,1,1,2,1,1,,That way I can authenticate anywhere I am. It would be an inconvenience if I couldn't on some places,"It shouldn't be long, once it is long, it is inconvenient. I can't wait longer just to check my emails.","5 cm is not too small, not to big either.",Not sure,4,Not sure ,1,1,1,1,1,1,2,5,2,2,2,2,2,1,4,1,Rectangle ,Pink,3,2,Arrangement and Configuration ,"I would prefer to configure a cube in a way known to me. As used in the example, have a set of numbers or letters in a particular order, have to twist them in a certain order so the conductive parts align.","•Accurate as set
•Authenticate with a fingerprint to ensure is me
•fast authentication 
•convenient use 
•convenient size

",No,79,55,31,439,130,769,121,11,1635,,06/09/2021 17:34,1,0,8,8,0,0,0.73,2
286,,,base,interview,06/09/2021 17:08,,,1,1,1,1,2,2,2,2,2,2,5,1,6,2,1,,36,South Africa ,6127635f3553943abeec2412,61361b3f24903104f34b1853,61362d7ced9b1d49b4fbbea9,4,5,"Easier, more convenient and time saving.",10,Half the size of an iPhone screen.,1,1,1,2,1,1,,It should be useable everywhere.,I don't have the time and I just want to login.,Bigger than that is excessive.,"In my handbag, with my phone.",5,Closest to me.,3,1,1,2,2,2,1,2,2,2,1,1,1,1,4,1,For shape I would chose a star and for a more complex form I would chose a cat.,Gold for the star and black for the cat.,Two.,One.,Touch and configuration.,Touch a square in the middle of my star and rotate the head of my cat.,"Secure, time saving, small, pretty, unique.",None.,40,118,93,399,70,718,103,3,1544,,06/09/2021 17:34,1,0,8,8,0,0,0.85,4
287,,,base,interview,06/09/2021 17:08,,,1,1,1,1,1,6,6,6,6,6,4,5,6,5,2,,37,South Africa,611d3ff6812878479bdd450c,61361b3f24903104f34b1853,61362ebccf7d38f7320895a9,5,5,For transparency purpose,1 to 2 seconds,1 to 3centimeters,1,1,1,2,1,1,,It should be flexible and friendly to environment,The quicker the better,It should be measureble,For safety reasons,4,Portable bag ,2,2,1,1,2,1,1,3,2,1,2,2,1,1,4,1,Charts,Blue,{EM_OPEN_MAILBOX_WITH_LOWERED_FLAG},5 interactions,2 to 4,It was an animal I would touch the eyes,"1 touch, 2 Arrange, 3 Assemble, 4 Configure, 5 Augmentation",The study is bit tricky and more educative.,29,8,80,499,122,824,120,14,1696,,06/09/2021 17:36,1,0,8,8,0,0,0.96,30
288,,,base,interview,06/09/2021 17:08,,,1,1,1,1,2,3,4,6,6,6,5,5,5,5,1,,27,South Africa,611470229562e04c9623bf28,61361b3f24903104f34b1853,61362ef8d58f725abb034108,4,3,It’s a new concept so I would like to know that I can still use the current method of authentication as a back up. ,Maximum 5 seconds,2 cm length and 1 cm width,1,1,1,2,1,1,,It would be an efficient and fast medthod of authentication so I think it would be suitable for both indoors and outdoors. ,It should be faster than the current authentication methods we have. ,"It should be compatible and not a hassle to carry around, ",For safekeeping.,4,The storage location would be in a case specifically designed for the authentication object.,1,2,1,1,1,1,1,1,1,1,1,1,2,1,4,1,A circular shape. ,Shiney black. ,3,2,Touch and Arrangement.,"As my object is a circular shape, the circle would have markings around it which would be 1 cm apart. I would rotate the circle in a motion which would be known to me as the user for authentication. ","Accuracy 
Efficiency 
Smooth to the touch when rotating
User friendly 
Compatible.",Another option would be users’ digital fingerprints on the authentication object. Where it would simply be touch and go instead of having to perform multiple interactions. ,59,67,43,474,73,1068,80,8,1872,,06/09/2021 17:40,1,0,8,8,0,0,0.75,0
289,,,base,interview,06/09/2021 17:08,,,1,1,1,1,2,5,5,4,6,5,3,6,3,6,1,,23,South Africa,6113a04dceb98d2f4aff1949,61361b3f24903104f34b1853,61362cb14c9475f969518d68,4,5,Having one main authentication object for all your accounts in your phone would be convenient. I wouldn't have to create different passwords thus increasing the chances of forgetting them.,300,Maybe a size of the airpods case. ,1,1,1,2,1,1,,I always use my phone whether indoors or outdoors I would need it at all times. ,The quicker it is to complete the authentication process the more likely am I to use it regularly. ,It will be potable and not heavy,The auntentication object is personalized to my device so it's safety is important to me even though Noone will be able to access it but I still would want it to be safe. ,3,In a sealale case such as the one for airpods so I won't lose it anywhere. ,3,2,2,2,1,1,1,1,1,1,1,2,1,1,4,1,I would prefer the shape to be cube-like with curved corners. ,I love color Black with small silver details. ,"Touch, Configuration, Assembly",1,Touch,"Touch - I would like to use my fingerprint (thumb) to interact with my 3d printed object. That way, it's 100 percent secured. ","Ability to well anywhere without the requirement for network connection. 
Provide me with 3 chances to auntenticate before it gets locked. 
Rechargeable. 
Sustainable
Child-friendly. 
",Not at the moment. ,5,56,24,983,109,1374,65,10,2626,,06/09/2021 17:52,1,0,8,8,0,0,1.07,43
290,,,base,interview,06/09/2021 17:08,,,1,,,,,,,,,,,,,,,,,,61336539ba8f385d00689ff0,61361b3f24903104f34b1853,61362f0357b4f9b035d0277d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,22,,,,,,,38,,06/09/2021 17:09,0,0,2,2,0,0,2.12,56
291,,,base,interview,06/09/2021 17:08,,,1,1,1,1,1,,,,,,,,,,,,,,6134d027526cb7b70ec2dff8,61361b3f24903104f34b1853,61362f032923620d70162a35,2,2,"No, i don't use it because sometimes i even forgot my others password so i don't want to deal with it.",it take me about 45-60 seconds ,i did not understand the queastion very well.,1,1,1,2,1,1,,i need in both because i take most of my devices with me,i use different pasword for different accounts so i have to rember it first,i did not understand the queastion very well.,sometimes you may forget your device in those area so ,1,"restaurant,shopping center.",4,2,2,1,2,2,1,4,2,2,1,2,2,1,4,,,,,,,,,,161,59,34,618,138,,,,1010,,06/09/2021 17:25,0,0,5,5,0,0,0.67,3
292,,,base,interview,06/09/2021 17:09,,,1,1,1,1,1,4,5,4,4,4,6,4,6,5,1,,24,South Africa,61337efbe03de2de84af5ee4,61361b3f24903104f34b1853,61362f197b81be45efdaf65d,4,4,"it ensures tighter security measures around people's devices as well , in that no one can use your devices but the owner themself ",30 seconds or less,the size of a phone screen - starting from 4.7 inches,1,1,1,2,1,1,,it should be flexible enough to be used anywhere (both indoors and outdoors),no one wants to spend a lot of time on authentication ,it should fit on ones device/s,it would make it easier to carry around ,5,it should have a special casing/ storage sock for it in cases where someone is mobile it can be put in a small pouch then stored in a bag ,5,2,2,2,2,2,1,4,2,2,1,2,2,1,4,1,square or rectangular shape ,white or black,2,2,"touch 
configuration 
arrangement ","touch the face/screen 
configure/ position in the right direction and arrange to be in a suitable manner ","identification 
if it is true to specification
size 
model 
functionality ",no,135,61,47,327,290,667,64,3,1372,,06/09/2021 17:35,1,0,8,8,0,0,0.86,6
293,,,base,interview,06/09/2021 17:09,,,1,1,1,1,2,3,5,5,6,5,2,6,2,5,2,,32,United States,61356140752be05b12fa3bc1,61361b3f24903104f34b1853,61362f20238b0945b2d48443,1,1,I like simplicity and this is one more thing to carry around,3,about a quarter the size of a typical cell phone,1,1,1,2,1,1,,wherever you need authentication. cellphones go wherever you do,too much time using such and object turns me off from using it,too large an object and I'd rather not use one at all,my keys are always on my person,4,back pocket or keychain,1,1,1,1,1,1,2,2,1,2,2,1,1,1,4,1,My ideal authentification object would be the size and shape of a typical credit or debit card.,"I prefer darker colors, though the color is not such a priority for me.",two,2,touch and configuration,touch certain spots and configure at a certain orientation,"lock screens, passwords, logins, captcha, confirmation of identity",no,23,55,24,183,43,382,67,3,780,,06/09/2021 17:22,1,0,8,8,0,0,1.5,26
294,,,base,interview,06/09/2021 17:09,,,1,1,1,1,2,2,3,5,2,2,6,2,6,3,1,,51,South Africa,6130d9dc1ffddcec1e925b4b,61361b3f24903104f34b1853,61362ef638e18d8da3d06812,4,2,"I don't mind using authentication objects as a form of authentication, but I would not have it as my main form of authentication.",10 seconds,8 centimeters; the size of a ring.,1,1,2,1,1,1,,People mostly need to be security conscious outdoors than indoors,Most authenticator apps use less than 10 seconds,"It should not be too conspicuous, and it should be easy to put on the finger and take off.",This would protect the surface of the object. The user can then keep the object in his/her bag.,4,It should have a suitable accompanying pouch or case to protect the surface.,2,2,2,1,1,1,1,3,1,1,2,2,2,1,4,1,Something like a ring would be appropriate.,"black, navy blue.",1,1,"Arrangement, Touch, Configuration","For Arrangement, the object can slide to predefined points to authenticate. 
Touch - The user can press two or more buttons to form a pattern, and then the user can present it to the touch screen.
Configuration -  the user could twist parts of the object to align numbers, for example","should not make sound
should not be too visible
should not be time-consuming
should be lightweight
should not be harsh on a touchscreen surface
 
","No, thanks.",125,269,83,1119,78,1443,103,20,1399,,06/09/2021 18:03,1,0,8,8,0,0,0.44,0
295,,,base,interview,06/09/2021 17:09,,,1,1,1,1,2,2,3,4,5,5,4,4,5,6,2,,40,United States,6131325f7cb4ef4396d03ea7,61361b3f24903104f34b1853,61362e69a1db7fff2ca2d8d0,2,4,good,10,6,1,2,1,1,1,1,,good to use,easy to me,good,safe place,3,Home,1,2,1,1,1,1,1,1,2,1,1,1,1,1,4,1,Good 3D ,purple,5,6,Bus,Oftenly ,Nothing,No,35,50,80,208,103,977,467,46,1526,,06/09/2021 17:42,1,0,8,8,0,0,0.73,6
296,,,base,interview,06/09/2021 17:09,,,1,1,1,1,1,6,6,4,4,6,1,6,1,6,2,,21,Poland,6122ba5937b1909ea0bfe9d1,61361b3f24903104f34b1853,61362f35ed9b1d49b4fbbec6,5,4,It would be a non-hackable authentication option. In order to use an account an object would have to be physicallly stolen,20 seconds max,Not bigger than a smartphone,1,1,1,2,1,1,,Casual authentication methods are used regardless of environment,Longer authentication is not convenient,Some phones are barely pocket-sized these days,The final choice would depend on preferring either more convenience or security,5,"In the pocket, bag or special wrist-mount",3,2,2,1,1,2,1,4,2,2,2,2,1,1,4,1,USB pendrive or vape pen size and shape,"black, silver",3,2,"Touch, Configuration","Add a liquid to the tank, rotate ring-like parts, touch designated pins","lightweight, rigid, convieniently shaped, originally looking",No,108,46,78,720,64,664,66,6,1752,,06/09/2021 17:39,1,0,8,8,0,0,0.77,1
297,,,base,interview,06/09/2021 17:10,,,1,1,1,1,1,2,3,3,3,5,5,3,5,4,1,,23,Italy ,61336539ba8f385d00689ff0,61361b3f24903104f34b1853,61362f0357b4f9b035d0277d,4,3,I am not used to them,Five seconds ,The size of a keychain ,1,1,1,2,1,1,,You could carry it with you,"I think its enough time. Not long, but short enough to be able to enter without problems ",Easy to carry around,It looks more convenient,5,It might be attached on a keychain ,2,2,2,1,1,1,1,2,1,1,1,2,2,1,4,1,An owl that can move its head and wings. You can close also it’s eyes. Then you can put him in a position you decides,Grey and Brown ,2,2,Touch and configuration ,I would like to touch it’s head and move its wings ,"It should be secure. 
It should be practical
It should be durable
It should be waterproof
It should be aestetically pleasing",I do not think putting liquid inside is a good idea ,5,25,47,296,44,577,69,2,1065,,06/09/2021 17:27,1,0,8,8,0,0,1.63,57
299,,,base,interview,06/09/2021 17:11,,,1,1,1,1,1,3,2,2,2,2,5,2,5,4,1,,25,South Africa,6133489b57eec7b9d96067e2,61361b3f24903104f34b1853,61362f7c63ad28be58eb0c4c,5,5,"I would definetly use authentication objects as I believe it would strenthen and provide stronger protection to my belongins e.g apps, banking apps, computers and phones.",60 seconds,Passwords should at least be more than 5 digits long with characters.,1,1,1,2,1,1,,"Different applications are used inside the house and outside, for example outside I would use my phone and inside I would use my laptop.","If I already know the source of authentication (password or finger print senor) then it should not take me more than 60 seconds to authenticate, in this way it also reduces other people trying to access my belongings.",In this way it strenghtens the authentication.,This is to ensure that no criminals are accepted into public transports.,5,When active an authentication object might be used at the entrance of any public transportation.,3,2,2,2,1,1,1,5,2,2,2,2,2,1,4,1,"simple shapes with letters and numbers inside to make it more complex .
names of animals and countries ","blue, green and red.",4,4,"Touch
Configuration
Arrangement
Assembly",I would like to touch and assembly the object all at once and then place on my smartphone to authenticate.,"Touch
Assembly
Spell check on the object
Configurate 
Fingerprint sensor",No,129,110,90,525,133,1088,91,12,2178,,06/09/2021 17:47,1,0,8,8,0,0,0.51,0
300,,,base,interview,06/09/2021 17:11,,,1,1,1,1,1,4,5,6,6,5,4,5,5,6,2,,49,usa,613490c660bddbe517096d35,61361b3f24903104f34b1853,61362d49ccf92176799a7efe,4,5,i think it is right,120,4,1,2,1,1,1,1,,because i only believe on indoors,it take such time,it is long such,i like it at home,4,at home,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,triangle,red,4,4,square,boxrr,"arrangement,touch,assembly,configuration,augmentation",excellent,76,35,137,1551,14,533,80,4,1184,,06/09/2021 17:51,1,0,8,8,0,0,1.06,28
302,,,base,interview,06/09/2021 17:12,,,1,1,1,1,1,3,5,5,4,3,4,4,4,4,2,,27,France,6131f5c8e58434bd79c0492e,61361b3f24903104f34b1853,61362fcd53b979dcc5bb8fa9,3,3,"I easily loose things especially small ones, so i'm afraid i'll lose the authentification object ",2,9/10 cm,1,1,1,2,1,1,,"If i understand correctly, i could let the object in my living-room for exemple and that will exempt me to manually authentificate on my devices. I could easily use it in that way, or outdoors while i carry it on me to log in my accounts on shared computers",It's easy to just tap the screen of my phone or enter my password and check my emails in like two or three seconds ; it will just annoy me to use a device that extend that length while i can do it nearly instantly without it,"I believe it should be approximately the same size as a card, to fit easily in a wallet maybe","I want to avoid to lose it or let it be stolen (even if the thief couldn't use it, it would still bother me)",5,"In a wallet or a bag, or an inner pocket",3,2,2,2,1,1,1,2,1,1,1,2,2,1,4,1,Something simple that you can easily carry and put in a pocket like a rectangle or a square,"Black/White/Grey to match with everything, but variations in red or blue would please me",4,3,"Touch, Arrangement and Configuration","Maybe some sort of little cubes or squares on a rectangle, that you could ""click"" in a sequence, or switch to show different pictures to form your own pattern","Easy to use, quick to authentify, no ""bugs"" or errors, must procure some sort of physical satisfaction when using it, and have some sort of feedback ",None,30,188,20,798,61,893,62,4,1913,,06/09/2021 17:46,1,0,8,8,0,0,1.01,11
303,,,base,interview,06/09/2021 17:12,,,1,1,1,1,1,5,6,5,6,6,3,5,4,5,1,,32,Czech republic,61118fbffc824ee97e182e4b,61361b3f24903104f34b1853,61362feb2217dcee9048222d,3,2,Fear of lost,10,"Coin, card",1,1,1,2,1,1,,Why not,"The less the better, like face id",To keep in wallet,I would nor forget it at home,5,"In my wallet, on a keychain",3,2,2,2,1,1,1,2,1,1,1,2,2,1,4,1,"Card, square",Bright,One-two,One,Touch,Touch some points on a card,"Fun aspect, gamification, sensation",No,9,28,16,124,31,166,41,1,416,,06/09/2021 17:19,1,0,8,8,0,0,2.51,97
304,,,base,interview,06/09/2021 17:15,,,1,1,1,1,2,5,5,6,6,5,5,6,6,5,1,,35,Hungary,613212e170b5b2baf98be9c9,61361b3f24903104f34b1853,61363079e42e4c10999471b2,2,3,This has to be a very sorcific way and a very precautuous approach,3600,15,1,2,1,1,1,1,,Safer. Though it is relative,If well created 10minutes will do,It depends actuallt. This may be the optimal size,Some place like a stash or a practical location. Tricky maybe. ,3,Safe place where I do stronglg trust and feel confident about the object,2,1,2,1,2,1,1,2,2,1,2,1,1,1,4,1,It would be a cube like a rubic cube and IWould use it as a password a definite pattern. ,Rubic cube colours each side different pattern different colours. ,I love the red prototype. ,The red one is a great idea. ,The cube prototypes are primary but the cylinder number prototype is so clever. ,I would use the cylinder type with numbers and letters combination,The 1st and the 3rd.,No. ,10,35,43,277,129,279,39,9,821,,06/09/2021 17:28,1,0,8,8,0,0,1.44,31
305,,,base,interview,06/09/2021 17:16,,,1,1,1,1,2,3,3,2,3,3,4,3,3,4,2,,44,france,5f4653d8a11887021cbf6829,61361b3f24903104f34b1853,613630dee72291cd41a14a25,4,3,interesting devices but maybe too heavy to be processed each time...,5,3x2x0.5 cm,1,1,1,2,1,1,,"it depends: outdoors & indoors for personnal life, indoors at work",it has to be quick,it has to be small,transportable and easy to carry,4,"difficult to say... something small to be attached to door, to another devices...",3,2,2,2,1,1,1,3,2,2,2,1,1,1,4,1,small cube ,black and white,two,two max,touch and assembly,touch a face and assemble the opposite one,need to be top quality and secure,no,11,37,28,335,51,725,54,1,1242,,06/09/2021 17:37,1,0,8,8,0,0,1.66,48
